"BBCH","ALBANA","BARBERA","BELLONE","BERVEDINO","BIANCHETTA","BOMBINO","BONAMICO","BRACHETTO","CABERNET","CAGNULARI","CATANESE","CATARRATTO","CHARDONNAY","CILIEGIOLO","CORTESE","CORVINA","DOLCETTO","DURELLA","EMPIBOTTE","ERBALUCE","FIANO","FREISA","GAGLIOPPO","GARGANEGA","GRECHETTO","GRIGNOLINO","GRILLO","LAGREIN","LAMBRUSCO","MALBEC","MALVASIA","MAMMOLO","MARZEMINO","MERLOT","MOLINARA","MONTEPULCIANO","MOSCATO","MULLER","NASCO","NEBBIOLO","NEGRARA","OTTAVIANELLO","PAVANA","PICCOLA","PIGNOLA","PINELLA","PINOT","RABOSO","RIESLING","ROSSARA","SANGIOVESE","SCHIAVA","SCIASCINOSO","SOMARELLO","SUSUMANIELLO","TEROLDEGO","TINTORA","TOCAI","TRAMINER","TREBBIANO","TSCHAGGELE","VERDELLO","VERDUZZO","VERMENTINO","VESPOLINA"
49,116,96,96,113,102,124,96,85,113,120,102,109,106,96,109,99,99,116,106,96,102,96,116,140,120,102,113,109,100,102,113,116,96,102,106,116,92,93,124,88,101,131,99,96,90,99,106,96,102,99,96,104,96,131,113,96,128,113,96,116,106,106,91,109,93
53,214,171,190,187,180,208,176,160,192,201,189,189,183,176,189,182,173,194,191,171,189,167,194,224,196,189,191,189,179,180,191,208,176,180,187,198,173,161,199,171,181,213,173,176,172,182,176,171,180,178,171,184,190,229,206,176,231,187,171,197,187,191,180,199,170
55,289,239,264,254,248,279,245,227,260,270,260,258,271,245,258,252,240,262,262,239,260,232,262,295,264,260,260,258,247,248,260,282,245,248,256,268,243,225,266,240,250,283,240,245,242,252,241,239,248,246,239,252,264,304,280,245,308,254,239,266,256,262,252,271,237
57,371,311,344,326,322,355,319,299,334,345,338,332,346,319,332,328,312,335,339,311,338,303,335,371,337,338,334,332,321,322,334,362,319,322,331,343,318,295,338,316,326,358,312,319,317,328,311,311,322,321,311,327,344,386,360,319,393,326,311,341,331,339,330,349,310
61,493,408,462,422,422,462,422,395,434,448,448,434,431,422,434,434,408,434,448,408,448,395,434,478,434,448,434,434,422,422,434,478,422,422,434,448,421,383,434,422,428,462,408,422,422,434,402,408,422,422,408,428,462,508,478,422,522,422,408,445,434,448,443,462,408
63,540,455,509,469,469,509,469,442,481,495,495,481,470,469,481,481,455,481,495,455,495,442,481,525,481,495,481,481,469,469,481,525,469,469,481,495,468,430,481,469,475,509,455,469,469,481,449,455,469,469,455,475,509,555,525,469,569,469,455,492,481,495,490,509,455
65,571,486,541,500,500,541,500,473,513,526,526,513,492,500,513,513,486,513,526,486,526,473,513,556,513,526,513,513,500,500,513,556,500,500,513,526,500,461,513,500,507,541,486,500,500,513,480,486,500,500,486,507,541,586,556,500,600,500,486,523,513,526,521,541,486
69,650,565,619,578,578,619,578,552,591,604,604,591,578,578,591,591,565,591,604,565,604,552,591,634,591,604,591,591,578,578,591,634,578,578,591,604,578,539,591,578,585,619,565,578,578,591,559,565,578,578,565,585,619,664,634,578,679,578,565,601,591,604,600,619,565
71,713,629,690,658,653,697,662,611,664,676,675,660,631,633,656,670,626,673,681,633,670,614,664,704,666,678,653,660,650,633,660,702,656,643,673,675,643,586,656,651,657,693,636,645,653,655,617,659,645,650,628,653,699,737,705,647,756,650,626,675,658,680,676,688,633
73,787,705,771,748,739,787,757,681,748,760,757,740,697,699,733,761,698,767,769,712,747,688,749,784,752,763,726,740,734,699,740,781,745,719,767,757,719,644,733,736,739,778,718,723,739,730,687,765,723,733,702,732,790,820,787,726,844,733,698,760,736,766,764,768,712
75,875,795,869,856,841,893,870,765,848,859,854,835,761,778,824,869,785,879,874,806,839,776,850,880,855,864,814,835,833,778,835,875,851,810,879,854,810,713,824,836,838,879,816,815,841,819,770,890,815,831,790,825,898,920,885,821,949,831,785,861,829,869,868,864,806
77,982,905,987,986,964,1022,1006,867,968,979,972,950,860,874,934,999,889,1013,1000,920,950,882,971,996,979,986,920,950,953,874,950,989,979,920,1013,972,919,797,934,957,957,1002,935,927,964,927,870,1042,927,950,897,939,1029,1040,1003,935,1076,950,889,983,942,993,994,980,920
